region,region_kr,mmdd,risk_mean,risk_median,risk_q25,risk_q75,p_below_year_median,years,candidate
chukchi,추크치해,09-10,0.2642692184592373,0.24933196066905944,0.19793265928604914,0.28721054520362144,1.0,10,True
chukchi,추크치해,09-11,0.2788521637999615,0.25051158085884917,0.1824569345887435,0.35319675779252113,0.8,10,True
chukchi,추크치해,09-12,0.3149867658823063,0.28626446964894436,0.25907819724045056,0.3682207904139114,0.9,10,True
chukchi,추크치해,09-13,0.32625568383302767,0.3247888918316514,0.2694199973734225,0.4005750029413977,0.8,10,True
chukchi,추크치해,09-14,0.2853223070531739,0.25013324020964534,0.230076618677895,0.3412958883520192,0.9,10,True
chukchi,추크치해,09-15,0.26132768924953664,0.2357661336594971,0.2215607266333372,0.3045856205258937,0.9,10,True
chukchi,추크치해,09-16,0.28703453176871163,0.2645481586918063,0.23134739304527266,0.37200661409215274,0.8,10,True
chukchi,추크치해,09-17,0.2829243442149428,0.24660864741991134,0.19233368809342924,0.3645702786592315,0.8,10,True
chukchi,추크치해,09-18,0.33047332961108294,0.33224555766212044,0.27723235381016265,0.4100822279311783,0.7,10,False
chukchi,추크치해,09-19,0.32771235617321604,0.34906936239001096,0.2223549186321531,0.41748699103153236,0.7,10,False
chukchi,추크치해,09-20,0.2773830800203319,0.2768122708919407,0.16021682470815465,0.3424194381984049,1.0,10,True
chukchi,추크치해,09-21,0.24332981144140997,0.222497538973501,0.18397384339166636,0.27124444527247404,1.0,10,True
chukchi,추크치해,09-22,0.24885863052125368,0.19100365964591046,0.17229030353009112,0.3294429010220997,1.0,10,True
chukchi,추크치해,09-23,0.2603489189484859,0.22980012705353764,0.19535931501685766,0.30513765048894836,1.0,10,True
chukchi,추크치해,09-24,0.3009761320188621,0.2593007843904936,0.19365410148942297,0.41898793465920303,0.8,10,True
chukchi,추크치해,09-25,0.30309972456218914,0.2539835280683715,0.19177305765777908,0.4009483451721987,0.8,10,True
chukchi,추크치해,09-26,0.2586488894026203,0.24702988096669276,0.2171367941822731,0.2837379926261028,1.0,10,True
chukchi,추크치해,09-27,0.2545415764549557,0.21362960356949684,0.16795735872413237,0.3122710872168219,0.9,10,True
chukchi,추크치해,09-28,0.3463236503047673,0.31437555459808464,0.20197198351327186,0.4644109255138507,0.8,10,False
chukchi,추크치해,09-29,0.3518759714946537,0.34026281710172057,0.23496989492028564,0.42738211100596396,0.8,10,False
chukchi,추크치해,09-30,0.35955016002919166,0.3117157375827354,0.2708277021638526,0.3720923493638528,0.8,10,False
chukchi,추크치해,10-01,0.3381374740218382,0.2989689395308254,0.2571785590781768,0.3504595234132587,0.9,10,False
chukchi,추크치해,10-02,0.34640189552279266,0.3218150972207291,0.2426768105752728,0.3713962587018318,0.7,10,False
chukchi,추크치해,10-03,0.3311741329306405,0.3147985211106491,0.25365650345598423,0.3423241927773504,0.8,10,False
chukchi,추크치해,10-04,0.3213855589532559,0.30216681160947384,0.21747905641480747,0.3784830509679208,0.7,10,False
chukchi,추크치해,10-05,0.3935414948403683,0.35172159067305964,0.272352614813917,0.4217223771616976,0.5,10,False
chukchi,추크치해,10-06,0.4343641461212592,0.3311591477893897,0.30677899969590916,0.6219336024779717,0.6,10,False
chukchi,추크치해,10-07,0.4392618582726657,0.33859392768394975,0.2718522010152869,0.5848327817274576,0.7,10,False
chukchi,추크치해,10-08,0.44210593671501863,0.3804456987788679,0.2521175720022431,0.4883233068375135,0.5,10,False
chukchi,추크치해,10-09,0.45533710396653604,0.36454316862198,0.2687858089863262,0.5062149741044217,0.5,10,False
