datetime,n_sec,latitude,longitude,temp_c,rh,wspd,wspd_max,wdir,pres_hpa,heading,sog_ms,cog_deg,qc_bad_temp,qc_bad_wspd,qc_bad_pres,wspd_zero_frac,cruise_year,t2m_C,wind_ms,siconc,d2m_C,era5_lat,era5_lon,era5_region
2021-08-25 19:00:00,3331,74.37726033333334,167.99249066666664,-0.71,98.7,7.5,14.6,335.0320792296545,999.39,252.69106159656775,5.067208354980844,226.7533084261848,0.0,0.0,0.0,0.0,2021,-0.275238037109375,6.6077189445495605,0.0,-1.518157958984375,74.5,168.0,east_siberian
2021-08-25 20:00:00,3151,74.35967866666667,167.8052026666667,-0.71,94.8,7.4,14.7,356.090153976078,999.77,349.0925474097676,0.2753401389515954,285.19563183679577,0.0006347191367819,0.0,0.0003173595683909,0.0,2021,-0.306488037109375,6.712405681610107,0.0,-1.438079833984375,74.25,167.75,east_siberian
2021-08-25 21:00:00,3493,74.36191366666667,167.73695766666663,-0.89,90.0,7.9,14.4,1.130435065401826,1000.33,15.805043421961397,0.0086608614546396,309.82933122984304,0.0,0.0,0.0,0.0,2021,-0.452239990234375,4.593901634216309,0.0,-1.836761474609375,74.25,167.75,east_siberian
2021-08-25 22:00:00,3449,74.38381233333332,167.67193483333332,-0.85,88.4,4.6,10.1,344.76031193549363,1000.89,30.740301575597694,0.0031918949380956,32.55934627781903,0.0,0.0,0.0,0.0,2021,-0.387786865234375,4.3595428466796875,0.0,-2.014495849609375,74.5,167.75,east_siberian
2021-08-25 23:00:00,3521,74.404515,167.76540683333332,-0.75,91.3,2.6,6.7,325.79441386397764,1001.12,31.585951785153505,0.0043274351815436,49.62342784676691,0.0,0.0,0.0,0.0,2021,-0.387786865234375,4.3595428466796875,0.0,-2.014495849609375,74.5,167.75,east_siberian
2021-08-26 00:00:00,3509,74.41595933333333,167.81469666666666,-0.57,92.9,3.8,8.3,322.2816090707896,1001.04,64.62698604737275,0.0132322833161604,63.95150643531716,0.0,0.0,0.0,0.0,2021,-0.387786865234375,4.3595428466796875,0.0,-2.014495849609375,74.5,167.75,east_siberian
2021-08-26 01:00:00,3515,74.42363416666667,167.8519311666667,-0.6,94.2,4.1,7.8,338.0715959026644,1001.27,149.01274105451373,0.0014653624555353,359.49741032614384,0.0,0.0,0.0,0.0,2021,-0.387786865234375,4.3595428466796875,0.0,-2.014495849609375,74.5,167.75,east_siberian
2021-08-26 02:00:00,3544,74.432738,167.67842483333334,-0.73,97.1,3.0,12.2,313.6786471436494,1001.38,254.4189772163831,0.0488119742556697,263.72419641057826,0.0,0.0,0.0,0.0,2021,-0.387786865234375,4.3595428466796875,0.0,-2.014495849609375,74.5,167.75,east_siberian
2021-08-26 03:00:00,3475,74.43273683333334,167.6784435,-0.5,98.4,4.4,8.8,301.7502979966662,1001.12,192.43922992894,0.0081662215505266,104.81776350166172,0.0,0.0,0.0,0.0,2021,-0.102630615234375,5.995999813079834,0.0,-1.326995849609375,74.5,167.75,east_siberian
2021-08-26 04:00:00,3500,74.4375515,167.81674416666664,-0.47,98.4,5.6,9.6,298.38710788729,1000.7,335.71293557579594,0.0042461802743359,14.298629878379604,0.0002857142857142,0.0,0.0002857142857142,0.0,2021,-0.102630615234375,5.995999813079834,0.0,-1.326995849609375,74.5,167.75,east_siberian
2021-08-26 05:00:00,3551,74.43553133333333,167.80986,-0.35,98.9,5.6,15.8,298.9812508682344,1000.48,207.70340604749768,2.8782516105275984,201.49675338118763,0.0,0.0,0.0,0.0,2021,-0.102630615234375,5.995999813079834,0.0,-1.326995849609375,74.5,167.75,east_siberian
2021-08-26 06:00:00,3563,74.32107433333334,167.55904716666663,-0.18,99.1,9.4,15.2,316.2442211953235,1000.59,213.37947990647052,4.634216222994834,211.14270296109197,0.0,0.0,0.0,0.0,2021,-0.143646240234375,6.361387729644775,0.0,-1.395355224609375,74.25,167.5,east_siberian
